constraint_name,table_name,constraint_type,constraint_definition
character_gears_item_id_fkey,character_gears,f,FOREIGN KEY (item_id) REFERENCES items(id)
character_gears_character_id_fkey,character_gears,f,FOREIGN KEY (character_id) REFERENCES characters(id) ON DELETE CASCADE
character_gears_pkey,character_gears,p,PRIMARY KEY (id)
character_gears_upsert_key,character_gears,u,"UNIQUE (character_id, job_code, category, slot)"
characters_user_id_fkey,characters,f,FOREIGN KEY (user_id) REFERENCES auth.users(id)
characters_account_id_fkey,characters,f,FOREIGN KEY (game_account_id) REFERENCES game_accounts(id) ON DELETE SET NULL
characters_pkey,characters,p,PRIMARY KEY (id)
game_accounts_user_id_fkey,game_accounts,f,FOREIGN KEY (user_id) REFERENCES auth.users(id)
game_accounts_pkey,game_accounts,p,PRIMARY KEY (id)
gear_progression_pkey,gear_progression,p,PRIMARY KEY (id)
inventories_character_id_fkey,inventories,f,FOREIGN KEY (character_id) REFERENCES characters(id) ON DELETE CASCADE
inventories_item_id_fkey,inventories,f,FOREIGN KEY (item_id) REFERENCES items(id)
inventories_pkey,inventories,p,PRIMARY KEY (id)
inventories_character_id_item_id_location_key,inventories,u,"UNIQUE (character_id, item_id, location)"
items_pkey,items,p,PRIMARY KEY (id)
profiles_id_fkey,profiles,f,FOREIGN KEY (id) REFERENCES auth.users(id)
profiles_pkey,profiles,p,PRIMARY KEY (id)
recipe_groups_pkey,recipe_groups,p,PRIMARY KEY (id)
recipe_requirements_group_id_fkey,recipe_requirements,f,FOREIGN KEY (group_id) REFERENCES recipe_groups(id) ON DELETE CASCADE
recipe_requirements_item_id_fkey,recipe_requirements,f,FOREIGN KEY (item_id) REFERENCES items(id)
recipe_requirements_pkey,recipe_requirements,p,PRIMARY KEY (id)
recipes_material_item_id_fkey,recipes,f,FOREIGN KEY (material_item_id) REFERENCES items(id)
recipes_base_item_id_fkey,recipes,f,FOREIGN KEY (base_item_id) REFERENCES items(id)
recipes_result_item_id_fkey,recipes,f,FOREIGN KEY (result_item_id) REFERENCES items(id)
recipes_pkey,recipes,p,PRIMARY KEY (id)
user_targets_user_id_fkey,user_targets,f,FOREIGN KEY (user_id) REFERENCES auth.users(id)
user_targets_group_id_fkey,user_targets,f,FOREIGN KEY (group_id) REFERENCES recipe_groups(id)
user_targets_character_id_fkey,user_targets,f,FOREIGN KEY (character_id) REFERENCES characters(id) ON DELETE CASCADE
user_targets_pkey,user_targets,p,PRIMARY KEY (id)
user_targets_character_id_group_id_key,user_targets,u,"UNIQUE (character_id, group_id)"
